"Date","Time","Open","High","Low","Close","Vol","OI","FastEMA","SlowEMA","MACD","MACDAvg","MACDDiff","ZeroLine","Momentum","ZeroLine","FastAvg","MedAvg","SlowAvg","Vol","VolAvg","OBV","AccDst-PrVol","ADX","TrigLevel","RSI","OverBot","OverSld","UpperBand","LowerBand","MidLine","ATR","PLOT1"
12/19/2021,15:10,4897.75,4907.25,4889.25,4891.00,4695,5608,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/19/2021,15:20,4891.25,4894.50,4881.25,4884.00,2795,3582,4884.00,4884.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6377.00,-3489.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4891.00
12/19/2021,15:30,4884.00,4885.50,4876.25,4884.25,2479,3021,4884.04,4884.02,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-877.00,-3340.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4884.00
12/19/2021,15:40,4884.50,4885.75,4882.00,4885.75,2619,1968,4884.30,4884.15,0.15,0.03,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3710.00,-1811.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4884.25
12/19/2021,15:50,4885.75,4885.75,4877.25,4878.50,2261,2361,4883.41,4883.73,-0.32,-0.04,-0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-912.00,-5753.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4885.75
12/19/2021,16:00,4878.50,4880.75,4868.25,4870.00,2816,4208,4881.35,4882.71,-1.37,-0.30,-1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7936.00,-10530.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4878.50
12/19/2021,16:10,4870.25,4873.50,4858.50,4868.25,4314,4857,4879.33,4881.64,-2.31,-0.70,-1.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-17107.00,-11753.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4870.00
12/19/2021,16:20,4868.50,4870.50,4862.00,4863.75,2612,2863,4876.93,4880.32,-3.38,-1.24,-2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-22582.00,-14812.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4868.25
12/19/2021,16:30,4863.50,4870.00,4863.00,4870.00,1826,1290,4875.87,4879.55,-3.68,-1.73,-1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-19466.00,-11919.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4863.75
12/19/2021,16:40,4870.00,4873.25,4867.00,4868.50,1776,1560,4874.73,4878.73,-4.00,-2.18,-1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-22802.00,-12719.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4870.00
12/19/2021,16:50,4868.50,4878.25,4868.00,4873.50,2086,1995,4874.54,4878.34,-3.80,-2.51,-1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-18721.00,-10729.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4868.50
12/19/2021,17:00,4873.25,4877.75,4872.00,4876.50,1370,1298,4874.85,4878.21,-3.36,-2.68,-0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-16053.00,-9221.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4873.50
